Disease Name,Overview Link,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,symptom 20,symptom 21
Tachycardia,https://www.mayoclinic.org/diseases-conditions/tachycardia/symptoms-causes/syc-20355127,Racing pounding heartbeat or flopping in the chest called palpitations,Chest pain,Fainting,Lightheadedness,Rapid pulse,Shortness of breath,,,,,,,,,,,,,,,
Tapeworm infection,https://www.mayoclinic.org/diseases-conditions/tapeworm/symptoms-causes/syc-20378174,Upset stomach or feeling like you could throw up,Stomachache or stomach pain,Not wanting to eat,Loose stools,Diarrhea,Weight loss,Gas,Hunger pains,Cravings for salty food,,,,,,,,,,,,
Tay-Sachs disease,https://www.mayoclinic.org/diseases-conditions/tay-sachs-disease/symptoms-causes/syc-20378190,"Exaggerated startle response when the baby hears loud noises
","Cherry-red"" spots in the eyes",Loss of motor skills including turning over crawling and sitting up,Muscle weakness progressing to paralysis,Movement problems,Seizures,Vision loss and blindness,Hearing loss and deafness,Problems swallowing,Loss of mental functions and a lack of response to surroundings,Growth in head size (progressive macrocephaly),,,,,,,,,,
Tennis elbow,https://www.mayoclinic.org/diseases-conditions/tennis-elbow/symptoms-causes/syc-20351987,Shake hands or grip an object,Turn a doorknob,Hold a coffee cup,,,,,,,,,,,,,,,,,,
Testicular cancer,https://www.mayoclinic.org/diseases-conditions/testicular-cancer/symptoms-causes/syc-20352986,A lump or swelling in either testicle,"A feeling of heaviness in the scrotum
",A dull ache in the lower belly or groin,Sudden swelling in the scrotum,Pain or discomfort in a testicle or the scrotum,Enlargement or tenderness of the breast tissue,Back pain,,,,,,,,,,,,,,
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,Fatigue,Weakness,Pale or yellowish skin,Facial bone deformities,Slow growth,Abdominal swelling,Dark urine,,,,,,,,,,,,,,
Thrombocytopenia,https://www.mayoclinic.org/diseases-conditions/thrombocytopenia/symptoms-causes/syc-20378293,Easy or excessive bruising (purpura),Superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae) usually on the lower legs,Prolonged bleeding from cuts,Bleeding from your gums or nose,Blood in urine or stools,Unusually heavy menstrual flows,Fatigue,Enlarged spleen,,,,,,,,,,,,,
Thrombophlebitis,https://www.mayoclinic.org/diseases-conditions/thrombophlebitis/symptoms-causes/syc-20354607,Warmth tenderness and pain in the affected area,Redness and swelling,Pain,Swelling,,,,,,,,,,,,,,,,,
Thyroid cancer,https://www.mayoclinic.org/diseases-conditions/thyroid-cancer/symptoms-causes/syc-20354161,A lump (nodule) that can be felt through the skin on your neck,A feeling that close-fitting shirt collars are becoming too tight,Changes to your voice including increasing hoarseness,Difficulty swallowing,Swollen lymph nodes in your neck,Pain in your neck and throat,,,,,,,,,,,,,,,
Thyroid nodules,https://www.mayoclinic.org/diseases-conditions/thyroid-nodules/symptoms-causes/syc-20355262,Unexplained weight loss,Increased sweating,Tremor,Nervousness,Rapid or irregular heartbeat,,,,,,,,,,,,,,,,
Tinnitus,https://www.mayoclinic.org/diseases-conditions/tinnitus/symptoms-causes/syc-20350156,Buzzing,Roaring,Clicking,Hissing,Humming,,,,,,,,,,,,,,,,
Toe walking in children,https://www.mayoclinic.org/diseases-conditions/toe-walking/symptoms-causes/syc-20378410,Toe walking is walking on the toes or the ball of the foot,,,,,,,,,,,,,,,,,,,,
Tonsillitis,https://www.mayoclinic.org/diseases-conditions/tonsillitis/symptoms-causes/syc-20378479,Red swollen tonsils,White or yellow coating or patches on the tonsils,Sore throat,"Difficult or painful swallowing
",Fever,Enlarged tender glands (lymph nodes) in the neck,A scratchy muffled or throaty voice,Bad breath,Stomachache,Neck pain or stiff neck,Headache,,,,,,,,,,
Tooth abscess,https://www.mayoclinic.org/diseases-conditions/tooth-abscess/symptoms-causes/syc-20350901,Severe constant throbbing toothache that can spread to your jawbone neck or ear,Pain or discomfort with hot and cold temperatures,Pain or discomfort with the pressure of chewing or biting,Fever,Swelling in your face cheek or neck that may lead to difficulty breathing or swallowing,Tender swollen lymph nodes under your jaw or in your neck,Foul odor in your mouth,"Sudden rush of foul-smelling and foul-tasting salty fluid in your mouth and pain relief if the abscess ruptures
",,,,,,,,,,,,,
Tourette syndrome,https://www.mayoclinic.org/diseases-conditions/tourette-syndrome/symptoms-causes/syc-20350465,Simple tics These sudden brief and repetitive tics involve a limited number of muscle groups,Complex tics These distinct coordinated patterns of movements involve several muscle groups,,,,,,,,,,,,,,,,,,,
Toxic shock syndrome,https://www.mayoclinic.org/diseases-conditions/toxic-shock-syndrome/symptoms-causes/syc-20355384,A sudden high fever,Low blood pressure,Vomiting or diarrhea,A rash resembling a sunburn particularly on your palms and soles,Confusion,Muscle aches,"Redness of your eyes mouth and throat
",Seizures,Headaches,,,,,,,,,,,,
Trichomoniasis,https://www.mayoclinic.org/diseases-conditions/trichomoniasis/symptoms-causes/syc-20378609,A large amount of a thin often foul-smelling discharge from the vagina — which might be clear white gray yellow or green,Genital redness burning and itching,Pain with urination or sex,Discomfort over the lower stomach area,Itching or irritation inside the penis,Burning with urination or after ejaculation,Discharge from the penis,,,,,,,,,,,,,,
Trigeminal neuralgia,https://www.mayoclinic.org/diseases-conditions/trigeminal-neuralgia/symptoms-causes/syc-20353344,Episodes of intense shooting or jabbing pain that may feel like an electric shock,Sudden episodes of pain or pain triggered by touching the face chewing speaking or brushing your teeth,Episodes of pain lasting from a few seconds to several minutes,"Pain that occurs with facial spasms
",Episodes of pain lasting days weeks months or longer Some people have periods when they experience no pain,Pain in areas supplied by the trigeminal nerve These areas include the cheek jaw teeth gums or lips Less often the eye and forehead may be affected,Pain on one side of the face at a time,"Pain focused in one spot Or the pain may be spread in a wider pattern
",Pain that rarely occurs while sleeping,Episodes of pain that become more frequent and intense over time,,,,,,,,,,,
Tuberculosis,https://www.mayoclinic.org/diseases-conditions/tuberculosis/symptoms-causes/syc-20351250,Low fever,Tiredness,Cough,Coughing up blood or mucus,Chest pain,Weight loss,Fever,Night sweats,Not feeling well in general,,,,,,,,,,,,
Type 1 diabetes,https://www.mayoclinic.org/diseases-conditions/type-1-diabetes/symptoms-causes/syc-20353011,Feeling more thirsty than usual,"Urinating a lot
","Bed-wetting in children who have never wet the bed during the night
",Feeling very hungry,Losing weight without trying,Feeling irritable or having other mood changes,Feeling tired and weak,Having blurry vision,,,,,,,,,,,,,
Type 2 diabetes,https://www.mayoclinic.org/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193,Increased thirst,"Frequent urination
",Increased hunger,Unintended weight loss,"Fatigue
",Blurred vision,Slow-healing sores,Frequent infections,Numbness or tingling in the hands or feet,Areas of darkened skin usually in the armpits and neck,,,,,,,,,,,
Ulcerative Colitis,https://www.mayoclinic.org/diseases-conditions/ulcerative-colitis/symptoms-causes/syc-20353326,Diarrhea often with blood or pus,"Rectal bleeding — passing small amount of blood with stool
",Abdominal pain and cramping,Rectal pain,"Urgency to defecate
",Inability to defecate despite urgency,Weight loss,Fatigue,Fever,In children failure to grow,,,,,,,,,,,
Urethritis,https://www.mayoclinic.org/diseases-conditions/urinary-tract-infection/symptoms-causes/syc-20353447,A strong urge to urinate that doesn't go away,A burning feeling when urinating,Urinating often and passing small amounts of urine,Urine that looks cloudy,Urine that appears red bright pink or cola-colored — signs of blood in the urine,Strong-smelling urine,Pelvic pain in women — especially in the center of the pelvis and around the area of the pubic bone,,,,,,,,,,,,,,
Uveitis,https://www.mayoclinic.org/diseases-conditions/uveitis/symptoms-causes/syc-20378734,Eye redness,Eye pain,Light sensitivity,Blurred vision,Dark floating spots in your field of vision (floaters),"Decreased vision
",,,,,,,,,,,,,,,
Waldenstrom Macroglobulinemia,https://www.mayoclinic.org/diseases-conditions/waldenstrom-macroglobulinemia/symptoms-causes/syc-20359967,Fatigue,Fever,"Weight loss
",Night sweats,Numbness in the hands or feet,Swollen lymph nodes,"A feeling of pain or fullness under the ribs on your left side which may be caused by an enlarged spleen
",Easy bruising,Bleeding nose or gums,Headache,Shortness of breath,Changes in vision,Confusion,,,,,,,,
Warts,https://www.mayoclinic.org/diseases-conditions/common-warts/symptoms-causes/syc-20371125,Small fleshy grainy bumps on the fingers or hands,Feeling rough to the touch,A sprinkling of black dots which are clotted blood vessels,,,,,,,,,,,,,,,,,,
Wegener's Granulomatosis,https://www.mayoclinic.org/diseases-conditions/granulomatosis-with-polyangiitis/symptoms-causes/syc-20351088,Pus-like drainage with crusts from your nose stuffiness sinus infections and nosebleeds,Coughing sometimes with bloody phlegm,Shortness of breath or wheezing,Fever,Fatigue,Joint pain,Numbness in your limbs fingers or toes,Weight loss,Blood in your urine,Skin sores bruising or rashes,Eye redness burning or pain and vision problems,Ear inflammation and hearing problems,,,,,,,,,
West Nile Virus,https://newsnetwork.mayoclinic.org/discussion/west-nile-virus-what-you-need-to-know/,fever,headache,body aches,joint pains,vomiting and rash,,,,,,,,,,,,,,,,
Whipple's Disease,https://www.mayoclinic.org/diseases-conditions/whipples-disease/symptoms-causes/syc-20378946,Diarrhea,Stomach cramping and pain which may worsen after meals,Weight loss associated with the malabsorption of nutrients,"Inflamed joints particularly the ankles knees and wrists
",Fatigue,Weakness,Anemia,Fever,"Cough
",Enlarged lymph nodes,Skin darkening in areas exposed to the sun and in scars,Chest pain,Difficulty walking,Vision problems including lack of control of eye movements,Confusion,memory loss,,,,,
Wilson's Disease,https://www.mayoclinic.org/diseases-conditions/wilsons-disease/symptoms-causes/syc-20353251,Tiredness and loss of appetite,A yellowing of the skin and the whites of the eye known as jaundice,Golden-brown or copper-colored rings around the irises of the eyes known as Kayser-Fleischer rings,Fluid buildup in the legs or stomach area,Problems with speech swallowing or physical coordination,Depression mood changes and personality changes,"Having a hard time falling asleep and staying asleep
",Uncontrolled movements or muscle stiffness,,,,,,,,,,,,,
Wolff-Parkinson-White Syndrome,https://www.mayoclinic.org/diseases-conditions/wolff-parkinson-white-syndrome/symptoms-causes/syc-20354626,heart rate greater than 100 beats a minute,Rapid fluttering or pounding heartbeats,Chest pain,Difficulty breathing,Dizziness or lightheadedness,Fainting,Fatigue,Shortness of breath,Anxiety,Blue or gray skin lips and nails These changes may be harder or easier to see depending on skin color,Restlessness or irritability,Rapid breathing,Poor eating,,,,,,,,
